0,0.0009,23.2704,,0,0.0009,23.2704
0.1,0.0009,23.456,,0.1,0.0009,23.456
0.2,0.001,28.8175,,0.2,0.001,28.8175
0.3,0.0012,42.6179,,0.3,0.0012,42.6179
0.4,0.0013,48.7753,,0.4,0.0013,48.7753
0.5,0.0014,53.5736,,0.5,0.0014,53.5736
0.6,0.0015,58.6848,,0.6,0.0015,58.6848
0.7,0.0017,63.7445,,0.7,0.0017,63.7445
0.8,0.0018,67.6148,,0.8,0.0018,67.6148
0.9,0.0019,71.873,,0.9,0.0019,71.873
1,0.002,75.2873,,1,0.002,75.2873
1.1,0.0021,79.5394,,1.1,0.0021,79.5394
1.2,0.0022,81.6281,,1.2,0.0022,81.6281
1.3,0.0023,86.6354,,1.3,0.0023,86.6354
1.4,0.0024,87.9761,,1.4,0.0024,87.9761
1.5,0.0026,92.7737,,1.5,0.0026,92.7737
1.6,0.0026,94.3591,,1.6,0.0026,94.3591
1.7,0.0028,99.2546,,1.7,0.0028,99.2546
1.8,0.0029,99.78,,1.8,0.0029,99.78
1.9,0.003,104.8072,,1.9,0.003,104.8072
2,0.0031,105.6803,,2,0.0031,105.6803
2.1,0.0032,110.0889,,2.1,0.0032,110.0889
2.2,0.0033,110.996,,2.2,0.0033,110.996
2.3,0.0034,115.0562,,2.3,0.0034,115.0562
2.4,0.0035,116.3171,,2.4,0.0035,116.3171
2.5,0.0037,119.6999,,2.5,0.0037,119.6999
2.6,0.0038,121.4893,,2.6,0.0038,121.4893
2.7,0.0039,124.123,,2.7,0.0039,124.123
2.8,0.004,126.7266,,2.8,0.004,126.7266
2.9,0.0041,128.3554,,2.9,0.0041,128.3554
3,0.0042,131.0712,,3,0.0042,131.0712
3.1,0.0043,132.3601,,3.1,0.0043,132.3601
3.2,0.0044,135.8918,,3.2,0.0044,135.8918
3.3,0.0045,136.4613,,3.3,0.0045,136.4613
3.4,0.0047,140.0146,,3.4,0.0047,140.0146
3.5,0.0048,140.03,,3.5,0.0048,140.03
3.6,0.0049,144.1078,,3.6,0.0049,144.1078
3.7,0.005,143.5556,,3.7,0.005,143.5556
3.8,0.0051,147.6852,,3.8,0.0051,147.6852
3.9,0.0052,147.2267,,3.9,0.0052,147.2267
4,0.0053,150.7233,,4,0.0053,150.7233
4.1,0.0054,151.2071,,4.1,0.0054,151.2071
4.2,0.0056,154.1608,,4.2,0.0056,154.1608
4.3,0.0056,154.2621,,4.3,0.0056,154.2621
4.4,0.0058,157.5149,,4.4,0.0058,157.5149
4.5,0.0059,158.2313,,4.5,0.0059,158.2313
4.6,0.006,160.0371,,4.6,0.006,160.0371
4.7,0.0061,161.4705,,4.7,0.0061,161.4705
4.8,0.0062,162.9746,,4.8,0.0062,162.9746
4.9,0.0063,164.7675,,4.9,0.0063,164.7675
5,0.0064,165.4279,,5,0.0064,165.4279
5.1,0.0066,168.1001,,5.1,0.0066,168.1001
5.2,0.0067,168.1928,,5.2,0.0067,168.1928
5.3,0.0068,170.8979,,5.3,0.0068,170.8979
5.4,0.0069,170.5242,,5.4,0.0069,170.5242
5.5,0.007,173.6891,,5.5,0.007,173.6891
5.6,0.0071,172.7363,,5.6,0.0071,172.7363
5.7,0.0072,176.0592,,5.7,0.0072,176.0592
5.8,0.0073,175.2061,,5.8,0.0073,175.2061
5.9,0.0074,178.1142,,5.9,0.0074,178.1142
6,0.0075,177.4683,,6,0.0075,177.4683
6.1,0.0077,180.5126,,6.1,0.0077,180.5126
6.2,0.0078,179.5481,,6.2,0.0078,179.5481
6.3,0.0079,182.0048,,6.3,0.0079,182.0048
6.4,0.008,181.6207,,6.4,0.008,181.6207
6.5,0.0081,183.7006,,6.5,0.0081,183.7006
6.6,0.0082,184.1779,,6.6,0.0082,184.1779
6.7,0.0083,185.0652,,6.7,0.0083,185.0652
6.8,0.0084,185.7151,,6.8,0.0084,185.7151
6.9,0.0085,186.4265,,6.9,0.0085,186.4265
7,0.0087,188.2359,,7,0.0087,188.2359
7.1,0.0088,187.8272,,7.1,0.0088,187.8272
7.2,0.0089,189.9306,,7.2,0.0089,189.9306
7.3,0.009,189.2321,,7.3,0.009,189.2321
7.4,0.0091,191.9797,,7.4,0.0091,191.9797
7.5,0.0092,190.5295,,7.5,0.0092,190.5295
7.6,0.0093,193.4973,,7.6,0.0093,193.4973
7.7,0.0094,192.0889,,7.7,0.0094,192.0889
7.8,0.0096,194.7763,,7.8,0.0096,194.7763
7.9,0.0096,193.8134,,7.9,0.0096,193.8134
8,0.0098,196.4939,,8,0.0098,196.4939
8.1,0.0099,194.9283,,8.1,0.0099,194.9283
8.2,0.01,197.5193,,8.2,0.01,197.5193
8.3,0.0101,197.1213,,8.3,0.0101,197.1213
8.4,0.0102,198.4169,,8.4,0.0102,198.4169
8.5,0.0103,198.6682,,8.5,0.0103,198.6682
8.6,0.0104,199.7935,,8.6,0.0104,199.7935
8.7,0.0105,200.4318,,8.7,0.0105,200.4318
8.8,0.0107,200.5185,,8.8,0.0107,200.5185
8.9,0.0108,201.6556,,8.9,0.0108,201.6556
9,0.0109,201.4688,,9,0.0109,201.4688
9.1,0.011,203.1881,,9.1,0.011,203.1881
9.2,0.0111,202.2569,,9.2,0.0111,202.2569
9.3,0.0112,204.4403,,9.3,0.0112,204.4403
9.4,0.0113,203.0387,,9.4,0.0113,203.0387
9.5,0.0114,205.4425,,9.5,0.0114,205.4425
9.6,0.0115,204.3079,,9.6,0.0115,204.3079
9.7,0.0117,206.5636,,9.7,0.0117,206.5636
9.8,0.0118,205.0295,,9.8,0.0118,205.0295
