0,0.0011,11.7535
0.1,0.0012,12.4718
0.2,0.0013,19.4474
0.3,0.0014,27.0544
0.4,0.0016,34.054
0.5,0.0017,37.1066
0.6,0.0018,41.7446
0.7,0.0019,44.4502
0.8,0.002,49.8627
0.9,0.0021,52.2775
1,0.0023,57.3518
1.1,0.0023,59.4437
1.2,0.0025,64.9782
1.3,0.0026,66.8478
1.4,0.0027,71.9705
1.5,0.0028,73.9636
1.6,0.0029,78.5702
1.7,0.003,81.1465
1.8,0.0032,85.5818
1.9,0.0032,87.5115
2,0.0034,91.536
2.1,0.0035,94.9437
2.2,0.0036,97.7046
2.3,0.0037,101.1339
2.4,0.0038,103.9177
2.5,0.0039,107.6885
2.6,0.004,109.7001
2.7,0.0041,113.8608
2.8,0.0042,115.4856
2.9,0.0044,119.6924
3,0.0045,121.2408
3.1,0.0046,125.6916
3.2,0.0047,126.6932
3.3,0.0048,130.9847
3.4,0.0049,132.6896
3.5,0.005,136.7014
3.6,0.0051,138.0799
3.7,0.0053,141.9899
3.8,0.0053,143.9229
3.9,0.0055,147.1759
4,0.0056,149.4314
4.1,0.0057,152.1136
4.2,0.0058,155.0704
4.3,0.0059,157.361
4.4,0.006,160.0525
4.5,0.0061,161.9605
4.6,0.0063,165.768
4.7,0.0063,166.9064
4.8,0.0065,170.8373
4.9,0.0066,171.8016
5,0.0067,175.7604
5.1,0.0068,176.6184
5.2,0.0069,180.898
5.3,0.007,181.7094
5.4,0.0071,185.3856
5.5,0.0072,186.79
5.6,0.0074,190.3736
5.7,0.0075,191.4993
5.8,0.0076,194.8325
5.9,0.0077,196.8557
6,0.0078,199.294
6.1,0.0079,201.5112
6.2,0.008,203.9162
6.3,0.0081,206.4881
6.4,0.0082,208.1186
6.5,0.0084,211.5346
6.6,0.0085,212.5129
6.7,0.0086,216.0841
6.8,0.0087,217.1731
6.9,0.0088,220.7383
7,0.0089,221.3664
7.1,0.009,225.4107
7.2,0.0091,226.0567
7.3,0.0093,229.6077
7.4,0.0093,230.4858
7.5,0.0095,234.0945
7.6,0.0096,235.0607
7.7,0.0097,238.0984
7.8,0.0098,239.6362
7.9,0.0099,242.3586
8,0.01,244.4372
8.1,0.0101,246.3396
8.2,0.0102,248.6537
8.3,0.0104,250.335
8.4,0.0105,253.6611
8.5,0.0106,254.4508
8.6,0.0107,257.7072
8.7,0.0108,258.6283
8.8,0.0109,262.1564
8.9,0.011,262.6597
9,0.0112,266.3836
9.1,0.0112,266.6922
9.2,0.0114,270.2569
9.3,0.0115,271.1428
9.4,0.0116,274.4594
9.5,0.0117,274.9917
9.6,0.0118,278.3565
9.7,0.0119,279.874
9.8,0.012,282.1136
9.9,0.0121,283.848
10,0.0122,286.1122
10.1,0.0124,288.5772
10.2,0.0125,289.9489
10.3,0.0126,292.664
10.4,0.0127,293.8513
10.5,0.0128,297.0727
10.6,0.0129,297.7997
10.7,0.013,301.1181
10.8,0.0131,301.4431
10.9,0.0133,305.2891
11,0.0133,305.7959
11.1,0.0135,309.069
11.2,0.0136,309.696
11.3,0.0137,313.0353
11.4,0.0138,313.9819
11.5,0.0139,317.034
11.6,0.014,318.0597
11.7,0.0141,320.587
11.8,0.0142,322.5761
11.9,0.0144,324.5363
12,0.0145,326.42
12.1,0.0146,328.1506
12.2,0.0147,330.9558
12.3,0.0148,332.0842
12.4,0.0149,334.8865
12.5,0.015,335.7093
12.6,0.0152,339.1557
12.7,0.0152,339.4611
12.8,0.0154,343.1451
12.9,0.0155,343.5084
13,0.0156,346.5175
13.1,0.0157,347.613
13.2,0.0158,350.9237
13.3,0.0159,351.333
13.4,0.016,354.4179
13.5,0.0161,355.7958
13.6,0.0163,358.2915
13.7,0.0163,359.7127
13.8,0.0165,361.9213
13.9,0.0166,363.9755
14,0.0167,365.4531
14.1,0.0168,368.083
14.2,0.0169,369.2131
14.3,0.017,372.1089
14.4,0.0171,372.9342
14.5,0.0173,376.2228
14.6,0.0173,376.5939
14.7,0.0175,380.0581
14.8,0.0176,380.7512
14.9,0.0177,383.9181
15,0.0178,384.4394
15.1,0.0179,387.9128
15.2,0.018,388.3596
15.3,0.0182,391.3756
15.4,0.0182,392.4351
15.5,0.0184,394.9959
15.6,0.0185,396.6898
15.7,0.0186,398.7148
15.8,0.0187,400.4359
15.9,0.0188,402.2346
16,0.0189,404.7909
16.1,0.019,405.7394
16.2,0.0191,408.5228
16.3,0.0192,409.3698
16.4,0.0194,412.4866
16.5,0.0195,412.936
16.6,0.0196,416.3379
16.7,0.0197,416.7288
16.8,0.0198,419.9098
16.9,0.0199,420.483
17,0.02,423.7231
17.1,0.0201,424.0262
17.2,0.0203,427.2361
17.3,0.0203,428.2181
17.4,0.0205,430.4267
17.5,0.0206,431.7675
17.6,0.0207,434.1277
17.7,0.0208,435.7757
17.8,0.0209,437.2698
17.9,0.021,439.4811
18,0.0211,440.6427
18.1,0.0213,443.4924
18.2,0.0214,444.1571
18.3,0.0215,446.9597
18.4,0.0216,447.3469
18.5,0.0217,450.704
18.6,0.0218,451.0264
18.7,0.0219,454.0513
18.8,0.022,454.2986
18.9,0.0222,457.6828
19,0.0222,458.0815
19.1,0.0224,460.9913
19.2,0.0225,461.6563
19.3,0.0226,464.2087
19.4,0.0227,465.7334
19.5,0.0228,467.773
19.6,0.0229,468.9838
19.7,0.023,470.7818
19.8,0.0231,473.354
19.9,0.0232,474.0838
20,0.0234,476.6623
20.1,0.0235,477.4692
20.2,0.0236,480.3769
20.3,0.0237,480.8052
20.4,0.0238,484.0121
20.5,0.0239,484.248
20.6,0.024,487.2894
20.7,0.0241,487.8121
20.8,0.0243,491.0633
20.9,0.0243,491.2083
21,0.0245,494.2337
21.1,0.0246,495.321
21.2,0.0247,497.7241
21.3,0.0248,498.7501
21.4,0.0249,501.1387
21.5,0.025,502.7109
21.6,0.0251,504.32
21.7,0.0252,506.3803
21.8,0.0254,507.5516
21.9,0.0255,510.0675
22,0.0256,511.0423
22.1,0.0257,513.7308
22.2,0.0258,514.1041
22.3,0.0259,517.268
22.4,0.026,517.7337
22.5,0.0261,520.9625
22.6,0.0262,521.1824
22.7,0.0264,524.3824
22.8,0.0264,524.7271
22.9,0.0266,527.8638
23,0.0267,528.4774
23.1,0.0268,531.0305
23.2,0.0269,532.3467
23.3,0.027,534.5232
23.4,0.0271,535.8676
23.5,0.0272,537.6971
23.6,0.0274,539.8501
23.7,0.0275,541.0802
23.8,0.0276,543.3711
23.9,0.0277,544.2712
24,0.0278,547.0521
24.1,0.0279,547.511
24.2,0.028,550.8282
